,Rome,Milan,Naples,Turin,Palermo,Genoa,Bologna,Florence,Bari,Catania,Verona,Venice,Messina,Padova,Prato,Trieste,Brescia,Parma,Taranto,Modena,Reggio di Calabria,Reggio Emilia,Perugia,Ravenna,Livorno,Rimini,Cagliari,Foggia,Ferrara,Salerno,Latina,Giugliano in Campania,Monza,Sassari,Bergamo,Pescara,Trento,Forlì,Siracusa,Vicenza,Terni,Bolzano,Piacenza,Novara,Ancona,Udine
Rome,,477.56703300539994,188.98395437651575,525.6548809246697,426.0705964634277,401.960480554246,303.42612895871827,231.57328219039994,375.7430879492767,536.5165976098425,411.8274411031437,394.2353390042608,487.19463982807116,393.38287338564066,248.14773807996013,430.1149577656043,444.166736492619,367.2956240813064,429.4146357442965,330.8982027267207,499.0856697352761,346.0536030128018,135.64109085823472,281.22500559824636,256.2584419952406,240.76021170818916,411.1962948124727,259.4646286645136,334.1088320926118,233.46574734632566,58.866229908131906,178.60966266850727,484.6382904168464,353.13277671837136,479.1807577376648,156.48107619062466,476.4920787767408,262.3603924946831,587.3310355139207,413.19195628362553,75.43372475821756,519.5582319542673,416.73246220575237,503.24551682463596,209.35985074541566,467.6230128118163
Milan,477.56703300539994,,658.7950991054624,126.36801588664629,886.7315338038139,119.07477256672759,201.29486680178275,249.65984986851885,787.2552303179692,1012.10209053508,141.05327450546673,245.7706833821224,964.7320706593506,210.406332185678,232.1954204297534,358.1471787391543,80.91819565912942,116.10945197794301,859.2635095460995,164.36911345908,976.5998800356492,142.0404508641718,365.52052374992485,264.81554915603016,230.62486067170218,309.8010565815231,693.0705154395512,679.5559346450992,203.40338515994574,698.5656073582617,536.3040623892289,647.2952118483165,14.52181732032318,529.1039390752813,45.233905884964614,523.1512708243162,164.0265035995358,264.3793641645361,1062.6451304435268,184.64986232304065,425.0985474662821,203.15283552473053,61.230419192055976,44.88018854135987,400.5368299981092,321.4695267232033
Naples,188.98395437651575,658.7950991054624,,713.8726335985809,311.2542439009132,589.8835091249871,471.26633140799083,409.2441947579079,222.59112710091597,377.1111184647616,576.0609453144368,534.970168377775,313.7902784917394,543.424019797242,426.6430903514938,536.569976226115,616.7412164539166,545.0138346856463,256.3060971230004,503.35000146850615,325.00046103180955,521.5419453991163,296.4048907552335,431.9754276076161,443.9671404139763,384.1171162429774,473.3783046508142,129.4082175807226,493.69782801798914,46.260704872922794,133.15138417167387,11.87091219076155,664.5801227691791,480.4463414089854,655.493291284058,181.17396813739015,634.209107806393,418.6615810896927,427.428791455585,568.0239350333292,234.06292472977637,671.1860737226186,597.5684468838999,687.4562486153511,315.06286355846373,587.2190105968222
Turin,525.6548809246697,126.36801588664629,713.8726335985809,,906.5315992096153,124.16418886626134,297.3505202717438,319.80640197629407,866.794236323266,1045.055611241857,263.3574320313123,367.5714377881506,1006.8151623135536,331.8478656593883,302.9254307284824,481.52930489029075,205.9479570454617,211.56358242785845,934.4549322594618,261.2904898703645,1018.9139152586902,237.36912915941852,436.00249913744466,365.8361034163709,269.97512059285725,404.72431698336544,660.6529449620151,754.1113440548745,312.1072798606625,756.9067994119032,583.812015911238,703.0245911925365,137.20073603938016,488.8630970001166,170.48388594708734,600.9871829507279,290.09241992991934,359.3813082255357,1094.5468566882348,308.2097701021874,487.484745360684,326.592324551093,159.4275597104964,84.54382783589926,493.0990505228823,447.3425852252866
Palermo,426.0705964634277,886.7315338038139,311.2542439009132,906.5315992096153,,791.2377045390909,728.1850815103526,652.5982766602802,449.6384496466724,166.88692526173378,836.7370225327161,817.9392333232961,192.39250960892602,819.0702516601281,667.9142966950184,837.5619410006195,864.6089267857351,784.441690290458,424.8023852052559,753.2144815956807,200.70266082598167,765.8870689710312,560.9007110618443,706.4097873566029,656.1932807641685,663.4265878773713,389.88576914178583,416.1891624080889,760.122739144143,309.17994407664776,374.1769131853208,320.7889376071531,895.9172675058921,504.86948194197834,895.5600095727998,488.27750323903354,902.3646476250782,688.2300257956805,205.97715070574412,839.2603198043086,497.4805980830693,945.6047731225619,828.2311513049781,904.6592042665511,611.0563712165484,883.2224595863792
Genoa,401.960480554246,119.07477256672759,589.8835091249871,124.16418886626134,791.2377045390909,,192.03533366989967,199.02096689628286,744.4363206114487,925.5429353156215,198.7082437639079,291.6557273052133,884.9704250945503,257.51219203259063,182.87018357560166,405.2487658523108,161.31133900883341,118.9490892434785,811.1885426875422,160.5455462282521,897.0354991967547,138.87026668422047,313.4632088788411,260.3411150077463,145.91684623871177,293.0271817048293,575.8985759148637,631.0126822853357,218.09764824139876,632.7895320824659,460.3218656618076,578.9899512706832,133.04365108030984,410.425861996405,154.0465883062522,479.0422930049633,251.49390694881808,249.43008921265724,975.4131708208753,242.12071026088586,363.5513851982472,299.4556831298655,93.45660502913589,118.11900010757303,377.95828801967804,384.4685913411094
Bologna,303.42612895871827,201.29486680178275,471.26633140799083,297.3505202717438,728.1850815103526,192.03533366989967,,80.59295745156713,586.4191724257452,838.0131278062476,108.55576497255001,130.904872534365,783.2003627331429,109.84393500394687,70.91193943234647,230.32707272932822,145.99539422182505,87.45816455631464,659.2469778751267,37.18409292930152,794.7482131172285,60.810059255427554,175.07979161540501,68.90462005621185,133.5440589705225,109.09772624367385,613.4904925359324,480.32450169880894,43.52395138049813,507.92637054553467,359.51791477111817,459.47848499101076,203.08327262573818,476.68002023375266,187.49280934854292,323.7103595118297,175.69436342322268,63.37638530974855,888.9183786139495,118.49731297486171,238.93801556665318,222.75170723056078,143.97534169009094,239.84811474577117,199.5913156097888,229.23666371323233
Florence,231.57328219039994,249.65984986851885,409.2441947579079,319.80640197629407,652.5982766602802,199.02096689628286,80.59295745156713,,547.1499578196317,768.08905127876,186.42429027880203,204.17200543880764,717.1403870715733,188.31296297293835,17.563219455081462,288.6714056835667,212.84094378847223,136.25886019558143,615.8835692740645,100.6447812228325,728.8998660026501,114.4855321676697,117.47928865755979,104.3475891176063,80.09918042267677,110.29131942531104,535.3619884171945,435.4251450274937,121.48992007930264,448.93186081711866,289.5158349076298,397.70693953116336,255.35472669358194,404.72284017847903,247.86168128129378,281.2543152083211,255.30795727624815,81.90002462974498,818.9038631484668,199.03420567547684,175.43934842278688,303.13342925083646,188.43600587051608,280.3762876557879,183.19625686417632,299.1136311315035
Bari,375.7430879492767,787.2552303179692,222.59112710091597,866.794236323266,449.6384496466724,744.4363206114487,586.4191724257452,547.1499578196317,,430.6300519906729,675.6129410668324,604.1191702898453,344.4253039253007,624.4565271955557,564.2573926183821,561.7421625256643,728.2224815101135,671.492107320529,79.28956661259954,623.0077968802344,350.22570218380366,645.2587943596038,430.98595868011296,528.4239705782343,603.7173735868892,480.187904811373,693.0688698076898,116.83917622431355,593.9529174791822,184.26787471046018,334.07321344325624,225.65168568910133,789.4988312287143,700.8655362502957,772.4387551358716,265.9175936569413,718.6145894507849,524.296808474392,470.5395716715977,653.5576897050597,385.43765795268206,743.2555271477413,727.9730113746425,823.4212350261986,390.7518451165445,622.3176378097494
Catania,536.5165976098425,1012.10209053508,377.1111184647616,1045.055611241857,166.88692526173378,925.5429353156215,838.0131278062476,768.08905127876,430.6300519906729,,945.4529819350761,911.2584518888707,87.14212099254821,918.005321840686,784.6267274960692,911.8470209821376,980.5324289242144,903.6525688164852,378.89362303287834,867.0219756003271,84.1408370227499,882.5649513823703,664.046530893365,805.4870664827689,784.4036569943122,758.7861972460456,556.5070068661007,441.86591022961784,864.7897008733308,354.2571684382097,478.9060403175819,388.7575474951682,1019.9112493212925,668.5817780287855,1015.5793138343,556.2548482140627,1006.8535348693899,790.2928196543841,50.90917396562818,941.3686804536327,599.5837573026811,1045.9421683206845,951.8397929162506,1034.545740570443,692.1664364178436,963.8605360252973
Verona,411.8274411031437,141.05327450546673,576.0609453144368,263.3574320313123,836.7370225327161,198.7082437639079,108.55576497255001,186.42429027880203,675.6129410668324,945.4529819350761,,104.77300211972069,889.1007867463123,69.35675366204073,173.30632644015225,218.17424838258225,61.409127503002,88.0290840204938,750.9718954623964,88.26438796018007,900.5345034987763,86.82792382997242,281.4960602096192,148.38900112264895,216.60469933962875,197.6188465141853,707.0521171394574,574.9535639667471,83.2680445260932,611.0260643816164,467.5103332729219,564.2136514422514,135.30339002504797,559.647475470911,107.12356921910948,419.54453858517957,70.4735678342248,157.88508455951148,996.3616187599717,45.279572945588605,345.88596145677457,121.06005650341366,110.30348535095483,185.8919506127935,284.9814139222606,187.77825856871658
Venice,394.2353390042608,245.7706833821224,534.970168377775,367.5714377881506,817.9392333232961,291.6557273052133,130.904872534365,204.17200543880764,604.1191702898453,911.2584518888707,104.77300211972069,,847.9911135654282,35.732022193755235,199.01239882374864,114.74392547827755,165.43278403402178,172.88085491739974,681.8115113018722,141.626158360611,858.8993426105483,157.0015540868125,258.6663065735941,114.21644494378367,264.38534917680096,154.52637206202087,739.1452985345405,512.5030102254655,87.78613075273279,564.4119113447742,443.76659812000867,523.1747843891103,239.5014003269741,606.8902166293987,209.71892934924068,363.4633866998659,117.45591543922679,135.9056180890193,961.8662352354638,62.3344067205166,320.72021433564424,139.907694065522,211.11079394654436,290.6325764587799,223.37232101234892,98.86975050067686
Messina,487.19463982807116,964.7320706593506,313.7902784917394,1006.8151623135536,192.39250960892602,884.9704250945503,783.2003627331429,717.1403870715733,344.4253039253007,87.14212099254821,889.1007867463123,847.9911135654282,,857.1584816041253,734.1630699375919,841.2823695929286,927.7591679369636,853.3878541024462,291.76939496276225,814.0431778358966,12.156861236017695,831.0350417093676,608.1514995635418,745.7460636410934,741.0205326195569,697.8899976493183,571.912140546337,363.13996907316647,807.1079381446642,284.45815482318665,428.4280365490866,325.65804288636843,971.6177855691462,664.1875134156387,964.904109724577,487.6844462890206,947.9576806058535,732.1213632462106,126.99746801225741,881.8079330898589,544.4030883295702,984.8467837807616,903.8172646328144,990.0008152724943,626.1998405002225,895.2056534660237
Padova,393.38287338564066,210.406332185678,543.424019797242,331.8478656593883,819.0702516601281,257.51219203259063,109.84393500394687,188.31296297293835,624.4565271955557,918.005321840686,69.35675366204073,35.732022193755235,857.1584816041253,,180.50258438838853,150.30071146288526,130.4412034582884,139.2703528878221,701.3466447418995,113.02589338675638,868.2742710781807,125.59023577807466,258.17025464334506,112.98505703226208,240.9412229051979,159.36574466149582,723.0977206304373,529.0495983767795,66.92217868613054,575.027517330606,445.4489828360278,531.566584805669,204.4985361168531,585.8266401056477,175.35483875487682,376.86122885988397,94.31245891113674,131.07400289977772,968.784772141993,30.19299447158548,321.93579251228175,127.937600413083,175.55015462200777,255.23350878826506,237.73653761979577,128.51173407006502
Prato,248.14773807996013,232.1954204297534,426.6430903514938,302.9254307284824,667.9142966950184,182.87018357560166,70.91193943234647,17.563219455081462,564.2573926183821,784.6267274960692,173.30632644015225,199.01239882374864,734.1630699375919,180.50258438838853,,288.88318751004084,196.90557456903323,119.26083119435876,633.2184077600106,86.09315535928175,745.9404587438142,98.25132984396865,134.96756236670225,106.55825836512865,73.28707933560254,119.7526631395656,542.6338840600524,452.76784549114785,113.67257537881223,466.4350622622673,306.29205846894956,415.1218835429294,238.0182271535381,408.0207517518402,231.05604955490787,298.34085877016025,242.92700552889107,85.84982400874402,835.4170754363784,188.93789901538636,192.92474143486916,291.5812742817024,170.96604256831816,262.8173864271123,197.1094068661073,295.64223273082484
Trieste,430.1149577656043,358.1471787391543,536.569976226115,481.52930489029075,837.5619410006195,405.2487658523108,230.32707272932822,288.6714056835667,561.7421625256643,911.8470209821376,218.17424838258225,114.74392547827755,841.2823695929286,150.30071146288526,288.88318751004084,,277.2499099603497,286.30223348612674,641.0000944583903,249.9957074172716,851.3673270117567,268.2277134446921,302.74289451398874,184.63147470168465,360.3817102816663,200.7024161686006,809.5401085226929,486.68537800242296,191.91596536614173,557.932440207717,469.9951942329624,525.339644857454,350.7573130009398,691.5151231371196,319.49430507355737,355.78789451475126,211.20204799742774,207.9147454475238,961.3929535185702,173.5791426925652,354.8576979229595,209.2664320152298,325.8330981143238,402.98302617811754,226.8546570150345,62.29933695270723
Brescia,444.166736492619,80.91819565912942,616.7412164539166,205.9479570454617,864.6089267857351,161.31133900883341,145.99539422182505,212.84094378847223,728.2224815101135,980.5324289242144,61.409127503002,165.43278403402178,927.7591679369636,130.4412034582884,196.90557456903323,277.2499099603497,,82.38719746064457,802.415763720492,113.72973346452005,939.3931693516356,98.73105415123443,320.33640502297436,199.97822049704854,220.9118686601865,248.06314373816005,706.947270460646,624.5910943870493,134.87860100301216,653.8359339138909,501.65539631842216,604.9882872901168,74.07831466914756,551.3969311365005,46.295018492929294,468.1920519353541,91.08862897733133,204.79746530015333,1031.3862081101752,103.8511105322697,383.44222792716863,138.14609597786523,67.95579108583206,125.73327020665329,337.8271007509745,241.44253823150115
Parma,367.2956240813064,116.10945197794301,545.0138346856463,211.56358242785845,784.441690290458,118.9490892434785,87.45816455631464,136.25886019558143,671.492107320529,903.6525688164852,88.0290840204938,172.88085491739974,853.3878541024462,139.2703528878221,119.26083119435876,286.30223348612674,82.38719746064457,,743.2180694316968,50.414667507182976,865.1531774317959,26.6778146957803,250.17036757080493,154.77600730500677,138.85910661531716,196.51060769691864,627.2212649099584,563.4525126142995,101.99230413471942,583.962442294842,425.5363921854287,533.4088614662237,120.0821143998869,475.21781555322593,111.93205258380623,407.08115548023204,153.55967835504507,150.76289534695485,954.4097648143995,127.06576852946023,310.9590399184079,204.84651470841223,56.751726335808456,152.7066534178373,286.808487581856,267.28361291259546
Taranto,429.4146357442965,859.2635095460995,256.3060971230004,934.4549322594618,424.8023852052559,811.1885426875422,659.2469778751267,615.8835692740645,79.28956661259954,378.89362303287834,750.9718954623964,681.8115113018722,291.76939496276225,701.3466447418995,633.2184077600106,641.0000944583903,802.415763720492,743.2180694316968,,695.4605909242086,295.5281564337248,717.2503576374803,498.70716227441864,603.1419309273829,668.3086155225122,554.4588276459502,709.2276053459345,180.46118055822774,668.7507413368635,211.5507026393576,381.6072838278923,262.5744906189263,862.0739870848873,735.280455409564,846.1013636087205,336.1541094427581,795.6163174096339,597.8564056525489,414.0975559013616,730.1987124951634,448.76072768203505,821.2297301080355,799.3796823474975,894.309243358748,466.0267094210953,701.50149300205
Modena,330.8982027267207,164.36911345908,503.35000146850615,261.2904898703645,753.2144815956807,160.5455462282521,37.18409292930152,100.6447812228325,623.0077968802344,867.0219756003271,88.26438796018007,141.626158360611,814.0431778358966,113.02589338675638,86.09315535928175,249.9957074172716,113.72973346452005,50.414667507182976,695.4605909242086,,825.6852252044952,23.955132888337594,207.02860184124108,104.58725307015207,131.21581226860852,146.27461219487134,620.2727942636205,516.1900936377327,58.56134616920264,540.988131325706,388.11595769188193,491.62576486260974,166.61545567692454,476.5483852534838,152.77244127680177,359.5987026999502,158.6244870902426,100.56033134381916,917.89236852901,111.85793434647782,269.7892898922474,208.57611612844448,106.8013248983981,202.66410107477324,236.76708789228124,240.04814191854817
Reggio di Calabria,499.0856697352761,976.5998800356492,325.00046103180955,1018.9139152586902,200.70266082598167,897.0354991967547,794.7482131172285,728.8998660026501,350.22570218380366,84.1408370227499,900.5345034987763,858.8993426105483,12.156861236017695,868.2742710781807,745.9404587438142,851.3673270117567,939.3931693516356,865.1531774317959,295.5281564337248,825.6852252044952,,842.7460716398086,619.6838891863792,756.9758884852657,753.0369891923688,709.0438775370808,582.178834695533,372.03682683425234,818.4705087263601,295.0434560486232,440.3009445587358,336.87093714065475,983.4498133903248,675.690280321512,976.6356931650603,498.182238467488,959.2066777104633,743.4687426057584,120.34178224135947,893.019528949771,556.0011623444898,995.9176178473025,915.6675901251282,1001.9598306104217,636.9131964141121,905.5259764826019
Reggio Emilia,346.0536030128018,142.0404508641718,521.5419453991163,237.36912915941852,765.8870689710312,138.87026668422047,60.810059255427554,114.4855321676697,645.2587943596038,882.5649513823703,86.82792382997242,157.0015540868125,831.0350417093676,125.59023577807466,98.25132984396865,268.2277134446921,98.73105415123443,26.6778146957803,717.2503576374803,23.955132888337594,842.7460716398086,,225.85135010780718,128.5394935543409,130.19536493385252,169.83644069377567,620.7386182841261,537.6556656648668,79.2482884124141,559.9318263739955,403.8913089378167,509.8804088754674,145.18478722500177,472.9110255784005,134.0019417795558,381.17591189503406,156.5402888799548,124.08786624425038,933.3843859878713,118.84672080738001,287.5440590388828,207.62120312592543,83.37517648044492,179.3329191875323,260.1381673338422,254.01849770716026
